Left_Ankledors,Left_Ankleprog,Left_AnkleRot,Left_Hip_AbdAdd,Left_Hip_FlexExt,Left_Hip_IntExt,Left_KneeAbdAdd,Left_KneeFlexExt,Left_KneeIntExt,Right_Ankledors,Right_Ankleprog,Right_AnkleRot,Right_Hip_AbdAdd,Right_Hip_FlexExt,Right_Hip_IntExt,Right_KneeAbdAdd,Right_KneeFlexExt,Right_KneeIntExt
-14.96911273,39.84640173,58.88766333,-1.516642749,6.783289522,6.511948033,-40.7083475,12.29522432,-12.55995316,9.376535612,88.36701778,148.8590778,2.491315595,-1.55900142,-2.537530305,-12.73752579,-29.95788286,9.872694022
-14.71717828,39.60578425,59.00655869,-1.538353768,6.744679094,6.517379318,-40.53339063,11.86395826,-12.14774463,9.627046158,88.34831044,148.9363872,2.441097259,-1.363794171,-2.632182608,-12.39587436,-30.34554008,9.976480479
-14.47645259,39.36520579,59.12054768,-1.559357266,6.703560028,6.527903603,-40.36625343,11.43079171,-11.76084327,9.886933796,88.32550423,149.018857,2.387682724,-1.174025372,-2.721474659,-12.04265999,-30.73087251,10.07277078
-14.24843125,39.11400508,59.22299055,-1.581505515,6.657275531,6.544531487,-40.20056,11.00283598,-11.40333897,10.15425046,88.29615869,149.1043254,2.328671627,-0.99064361,-2.80630628,-11.67802171,-31.11383693,10.16090565
-14.03942739,38.84794628,59.31522001,-1.602432958,6.612235299,6.566365479,-40.03557859,10.57595126,-11.07470049,10.42953733,88.26133845,149.1940646,2.265746427,-0.809411915,-2.890834179,-11.30072281,-31.49428328,10.243224
-13.86270612,38.58211762,59.3987701,-1.626152351,6.56458422,6.590999899,-39.86691995,10.15119949,-10.77463772,10.70912809,88.22140772,149.2831724,2.197091039,-0.630653705,-2.971566231,-10.91395962,-31.87318721,10.3190391
-13.72595468,38.3317584,59.47732087,-1.65222872,6.510321355,6.626438935,-39.69031206,9.739016898,-10.51297674,10.99811853,88.17992093,149.379337,2.123755664,-0.455055756,-3.049273079,-10.51900528,-32.24916265,10.38918069
-13.63419692,38.10338726,59.56115305,-1.67892499,6.45216018,6.666590699,-39.50262359,9.328082451,-10.27738038,11.29234344,88.13489124,149.4793209,2.04649054,-0.280897568,-3.119834976,-10.11759727,-32.62255316,10.44961926
-13.57681342,37.89113071,59.65003068,-1.706983976,6.388173056,6.718737066,-39.29458278,8.926501248,-10.06878883,11.58863107,88.08651426,149.577817,1.966560709,-0.105848236,-3.181033099,-9.710952283,-32.99518833,10.50254427
-13.54972057,37.68020795,59.73018784,-1.735904538,6.31579822,6.772489292,-39.06153843,8.53339475,-9.879932614,11.88494244,88.03543664,149.6728863,1.882841937,0.064580404,-3.242454221,-9.29658392,-33.36488726,10.55044412
-13.54350167,37.46133451,59.8137625,-1.761960559,6.239757591,6.829313885,-38.80179665,8.145650653,-9.707312903,12.18626639,87.98158764,149.7692073,1.798451894,0.23486462,-3.298030588,-8.876717606,-33.73106472,10.59097858
-13.55246992,37.22771503,59.91981869,-1.786822116,6.157572626,6.892444113,-38.51712823,7.768100427,-9.54474362,12.48833584,87.92295665,149.8624663,1.712150043,0.403599761,-3.348394211,-8.452226649,-34.09457923,10.62394581
-13.58436502,36.97544186,60.06690145,-1.809335231,6.068282438,6.961624602,-38.21386147,7.396007195,-9.391375009,12.7933547,87.86730907,149.9552215,1.622127227,0.566240048,-3.391849355,-8.024654932,-34.45499652,10.65366557
-13.61295351,36.69841046,60.25588176,-1.828476841,5.97823982,7.041687145,-37.89976689,7.036924183,-9.24773359,13.08332745,87.81593006,150.0448326,1.530097549,0.728252295,-3.432862592,-7.606766646,-34.81435706,10.67944267
-13.63185549,36.41024542,60.48629543,-1.842887952,5.886118359,7.126051649,-37.58542157,6.693135718,-9.107825633,13.37747081,87.75553566,150.1353842,1.437894892,0.887294885,-3.470215836,-7.184398465,-35.17191784,10.69581104
-13.62866889,36.11206836,60.75547898,-1.852314788,5.795397978,7.219774042,-37.27960485,6.361461404,-8.971634282,13.67151234,87.69499202,150.2288511,1.344204597,1.045015178,-3.50295555,-6.761345548,-35.52934658,10.70550551
-13.62223815,35.81050334,61.08567124,-1.857318298,5.708015719,7.321846521,-36.9885498,6.045129254,-8.835258957,13.97161951,87.63471659,150.3336715,1.249390669,1.201879905,-3.533581183,-6.333745505,-35.89014267,10.71196082
-13.59243502,35.5034751,61.48052496,-1.857247857,5.617310604,7.428402239,-36.7192531,5.743491746,-8.694433723,14.27241896,87.57336165,150.4431098,1.152250462,1.355899465,-3.557435199,-5.903317733,-36.25556935,10.71197435
-13.52693746,35.19923669,61.91071729,-1.852897918,5.527146769,7.535375267,-36.47509237,5.448524562,-8.544465729,14.57598692,87.5183609,150.5641377,1.053705384,1.504311774,-3.581669376,-5.472190241,-36.6228779,10.71378894
-13.42184685,34.89662511,62.36950702,-1.84647378,5.436674445,7.639335012,-36.25695281,5.159085815,-8.381283256,14.87389071,87.46538722,150.68913,0.952065762,1.651040139,-3.605362841,-5.04594285,-36.99186352,10.70915427
-13.28299466,34.57178232,62.83657232,-1.839458203,5.346130997,7.738817127,-36.05987681,4.874862071,-8.212802272,15.16576791,87.41093942,150.8170047,0.846871868,1.795689178,-3.62748295,-4.621424054,-37.36237641,10.69790421
-13.10977618,34.20505318,63.31224698,-1.833187014,5.252555824,7.83397478,-35.88259554,4.600366415,-8.03532552,15.44254943,87.34245337,150.9444301,0.740049361,1.939370356,-3.647682502,-4.202794629,-37.73474623,10.6623239
-12.93294942,33.8190462,63.7792298,-1.824401615,5.149827606,7.926616431,-35.72526552,4.3347955,-7.854414129,15.70435613,87.26333729,151.0753435,0.631743314,2.076746724,-3.665352676,-3.786613086,-38.11568811,10.61023216
-12.7667599,33.44003986,64.24049842,-1.813564655,5.040635329,8.009261218,-35.58455838,4.069857624,-7.659243045,15.93567285,87.16734114,151.2180664,0.522020018,2.208894201,-3.682755925,-3.38270746,-38.51698889,10.53098168
-12.63261264,33.06393281,64.70701988,-1.802250273,4.923783192,8.090205427,-35.45503554,3.809224818,-7.461552975,16.15431553,87.06611282,151.3764258,0.410115288,2.334320586,-3.6979027,-2.984008714,-38.93401832,10.43612925
-12.52604949,32.68150522,65.15687079,-1.786396992,4.799867242,8.166323767,-35.33574657,3.552576199,-7.256715912,16.36800533,86.96474477,151.5419201,0.29968048,2.457224827,-3.711855234,-2.58781477,-39.35418889,10.33505191
-12.41714716,32.28932774,65.53092234,-1.770050513,4.672791084,8.234485954,-35.2228268,3.29887457,-7.05088718,16.57407304,86.86392655,151.708723,0.187683286,2.575689504,-3.725737284,-2.199993929,-39.77391841,10.22481978
-12.25813228,31.89033049,65.78761167,-1.751613201,4.537905595,8.295527132,-35.11335451,3.052013969,-6.843887583,16.77335352,86.76309028,151.903986,0.072524292,2.688440597,-3.741800178,-1.819369386,-40.19121221,10.10640207
-12.03549184,31.48932742,65.91074672,-1.730698135,4.400968605,8.354375876,-35.00518659,2.811967935,-6.644888319,16.96016987,86.66764564,152.0938839,-0.045581812,2.796687612,-3.757988937,-1.450839222,-40.60366731,9.981611307
-11.74342503,31.08207223,65.90065374,-1.708146425,4.254202708,8.406816658,-34.89767117,2.580135589,-6.445105862,17.1371726,86.58004503,152.2749551,-0.165440103,2.895834364,-3.772123339,-1.093544391,-41.00550272,9.854128024
