Left_Hip_FlexExt,Left_Hip_AbdAdd,Left_Hip_IntExt,Right_Hip_FlexExt,Right_Hip_AbdAdd,Right_Hip_IntExt,Left_KneeFlexExt,Left_KneeAbdAdd,Left_KneeIntExt,Right_KneeFlexExt,Right_KneeAbdAdd,Right_KneeIntExt,Left_AnkleRot,Left_Ankledors,Left_Ankleprog,Right_AnkleRot,Right_Ankledors,Right_Ankleprog
60.55388992,-83.11082184,-70.14849983,-140.8924249,-57.91825027,144.1265277,15.74156422,15.81754815,18.41582508,-8.664032076,12.47805468,2.997731078,92.63284785,0.057018384,-80.68122045,41.27875713,-0.86927064,-37.3708873
65.371799,-81.62115583,-74.95111393,-142.3226958,-58.23550653,145.2778494,16.1221408,15.99008002,18.6191764,-3.705241298,11.72895017,6.184632005,93.21335754,0.237152064,-80.53309729,37.63174588,4.879484363,-41.56994383
68.49748037,-80.14700872,-78.2330052,-143.6216156,-58.00914702,146.026315,16.60458667,16.16477879,18.80699808,0.946367802,10.8261491,9.062305103,93.87662009,0.367035431,-80.27305623,34.24518913,10.03082523,-45.89789252
70.32860494,-79.13679371,-80.38274039,-144.9760744,-57.5183268,146.8808234,16.72063108,16.35085988,18.98566718,5.267890333,9.501970556,11.88945783,94.69509611,0.505958868,-79.92091229,31.16425477,14.61452648,-50.03307766
71.08223986,-78.56974726,-81.74401844,-147.1871799,-56.81590329,148.306132,16.4062705,16.59990618,19.10080069,9.181651723,7.755759555,14.28334215,95.6276357,0.8135907,-79.62875189,28.99807067,18.82929927,-53.75345511
70.63519264,-78.23568622,-82.04776464,-149.3626055,-55.57486844,149.5835957,15.75264093,16.78904989,19.08299666,11.84287939,5.78493087,16.40861825,96.64003632,1.093664577,-79.39489728,26.94090127,22.54393817,-56.88892363
70.1774921,-78.02403143,-82.38740465,-151.5781345,-53.96523343,150.9196227,14.66835291,17.01908684,18.97739783,13.6498422,4.927137286,18.47423415,97.8363939,1.207921715,-79.09546253,25.13791626,24.53125695,-59.63636032
70.72112108,-77.78371691,-83.66584655,-153.393189,-52.08762824,151.6092822,13.32549015,17.42404276,18.87814275,14.42978223,5.114389584,19.79959888,99.18253527,1.116959005,-78.73554218,23.79530708,24.93014886,-61.52404317
71.99592033,-77.5483953,-85.58418615,-153.4914104,-50.03658636,150.5930064,11.73873645,17.92475415,18.74905903,13.70963525,5.703086994,19.92987635,100.7027919,0.77953755,-78.36870734,22.37104922,24.64191881,-62.79237663
73.55861574,-77.32728856,-87.69270834,-152.7527131,-48.39997661,148.9132099,10.0799577,18.35785911,18.62829252,11.98777764,6.329802319,18.87152055,102.2233234,0.046049118,-77.98981969,22.30140642,23.9727611,-62.76403774
75.17012508,-77.17575344,-89.65191189,-151.5602065,-47.27258637,147.4655737,8.351642175,18.73158429,18.38472321,9.783128193,6.944679452,17.44399372,103.5565525,-1.132219758,-77.74819102,22.84673247,21.91925805,-61.3395616
77.15317106,-77.31647401,-91.85919062,-148.9281978,-45.97028542,145.2378419,6.130259797,19.15710463,18.24962668,6.158009347,7.764792494,15.70855594,104.7779406,-2.869841347,-77.642386,23.39276484,18.44757449,-59.13651717
